algoritmo,grupo,mse_global_media,mse_global_desvio,mse_personalizado_media,mse_personalizado_desvio
fedavg,alta_heterog,6.606457267103756,4.833541541292341,2.332452040319874,1.0909366078046328
fedavg,baixa_heterog,5.400548165592544,4.453383015810493,1.8684542808906768,0.8113104907680857
fedprox (mu=0.01),alta_heterog,6.605708340895456,4.832552927184936,2.3323318871921943,1.090759157338078
fedprox (mu=0.01),baixa_heterog,5.399820632909415,4.452696724006281,1.8683309021007009,0.811086994956055
fedprox (mu=0.05),alta_heterog,6.602716804262791,4.828605555384232,2.331851307366319,1.0900497492488315
fedprox (mu=0.05),baixa_heterog,5.396913083786141,4.449948769857637,1.8678371520505859,0.8101926816560624
